Team,wichita-state,cal-poly,kentucky,kansas-state,saint-louis,north-carolina-state,louisville,manhattan,massachusetts,tennessee,duke,mercer,texas,arizona-state,michigan,wofford,arizona,weber-state,gonzaga,oklahoma-state,oklahoma,north-dakota-state,san-diego-state,new-mexico-state,baylor,nebraska,creighton,louisiana-lafayette,oregon,brigham-young,wisconsin,american,virginia,coastal-carolina,memphis,george-washington,cincinnati,harvard,michigan-state,delaware,north-carolina,providence,iowa-state,north-carolina-central,connecticut,saint-josephs,villanova,milwaukee,florida,albany-ny,colorado,pittsburgh,virginia-commonwealth,stephen-f-austin,ucla,tulsa,ohio-state,dayton,syracuse,western-michigan,new-mexico,stanford,kansas,eastern-kentucky
Defense Rating,0.18079096045197754,0.8983050847457629,0.6497175141242937,0.5649717514124293,0.12429378531073461,0.9661016949152545,0.0,0.49717514124293843,0.5819209039548028,0.5084745762711863,0.8022598870056498,0.5536723163841814,0.7514124293785316,0.576271186440678,0.84180790960452,0.5480225988700566,0.09039548022598917,0.7457627118644068,0.5367231638418078,0.5197740112994351,0.9152542372881356,0.7683615819209043,0.0,0.5988700564971755,0.8870056497175142,0.6271186440677969,0.8644067796610174,0.8474576271186439,0.8757062146892653,0.836158192090396,0.6836158192090399,0.4745762711864409,0.16949152542372878,0.5649717514124293,0.5988700564971755,0.5423728813559326,0.1864406779661023,0.24858757062146922,0.5536723163841814,1.0,0.5819209039548028,0.8644067796610174,0.7570621468926556,0.11299435028248586,0.41242937853107403,0.7570621468926556,0.45197740112994345,0.8022598870056498,0.18079096045197754,0.6610169491525424,0.6836158192090399,0.49717514124293843,0.16384180790960481,0.42372881355932196,0.632768361581921,0.5141242937853111,0.1468926553672321,0.7401129943502829,0.4858757062146897,0.6610169491525424,0.6101694915254243,0.7231638418079102,0.7288135593220341,0.9096045197740117
Offense Rating,0.7554347826086956,0.07065217391304336,0.554347826086957,0.1086956521739131,0.010869565217391464,0.3206521739130432,0.8260869565217397,0.26630434782608664,0.168478260869565,0.6521739130434786,0.9456521739130435,0.7391304347826088,0.2608695652173913,0.27173913043478276,0.8369565217391304,0.1847826086956518,0.5489130434782609,0.49456521739130427,0.6467391304347825,0.5760869565217391,0.5815217391304353,0.8423913043478265,0.38043478260869584,0.6304347826086957,0.701086956521739,0.0,1.0,0.5108695652173911,0.6902173913043483,0.5326086956521741,0.7336956521739134,0.065217391304348,0.36413043478260904,0.1086956521739131,0.3260869565217393,0.2771739130434781,0.28804347826086957,0.5108695652173911,0.6086956521739135,0.5163043478260873,0.3423913043478261,0.3749999999999997,0.6358695652173918,0.5597826086956523,0.36413043478260904,0.3097826086956525,0.5978260869565221,0.021739130434782157,0.4836956521739128,0.05978260869565189,0.08152173913043483,0.5869565217391306,0.16304347826086965,0.7065217391304351,0.701086956521739,0.1521739130434782,0.21195652173913007,0.402173913043478,0.5108695652173911,0.233695652173913,0.49456521739130427,0.31521739130434784,0.657608695652174,0.766304347826087
Opponent Assets,0.125,0.38333333333333336,0.375,0.225,0.11666666666666667,0.3333333333333333,0.25416666666666665,0.26666666666666666,0.5833333333333334,0.20833333333333334,0.225,0.42916666666666664,0.49583333333333335,0.25416666666666665,0.4625,0.0,0.0875,0.12083333333333333,0.225,0.19583333333333333,0.35833333333333334,0.175,0.12916666666666668,0.058333333333333334,1.0,0.11666666666666667,0.425,0.35833333333333334,0.4,0.7875,0.15833333333333333,0.041666666666666664,0.19583333333333333,0.29583333333333334,0.5291666666666667,0.35833333333333334,0.2,0.06666666666666667,0.32916666666666666,0.36666666666666664,0.2,0.4,0.625,0.008333333333333333,0.5333333333333333,0.5541666666666667,0.3625,0.37083333333333335,0.25,0.3875,0.5791666666666667,0.3333333333333333,0.275,0.14583333333333334,0.7625,0.19166666666666668,0.029166666666666667,0.4375,0.4666666666666667,0.32916666666666666,0.25833333333333336,0.6375,0.38333333333333336,0.5333333333333333
Opponent Offensive Rebounds,0.25728155339805825,0.2669902912621359,0.7330097087378641,0.48058252427184467,0.3300970873786408,0.8106796116504854,0.7184466019417476,0.5970873786407767,0.5533980582524272,0.3155339805825243,0.3446601941747573,0.5485436893203883,0.5485436893203883,0.48058252427184467,0.3786407766990291,0.0,0.4029126213592233,0.12135922330097088,0.5485436893203883,0.5970873786407767,0.4029126213592233,0.019417475728155338,0.4077669902912621,0.8300970873786407,0.7087378640776699,0.16019417475728157,0.2961165048543689,0.5533980582524272,0.441747572815534,0.46601941747572817,0.3106796116504854,0.16019417475728157,0.16990291262135923,0.4174757281553398,0.6553398058252428,0.470873786407767,0.3883495145631068,0.1553398058252427,0.4320388349514563,0.6941747572815534,0.529126213592233,0.42718446601941745,0.5679611650485437,0.46601941747572817,1.0,0.2766990291262136,0.33495145631067963,0.4223300970873786,0.4077669902912621,0.2087378640776699,0.16019417475728157,0.32038834951456313,0.4029126213592233,0.03398058252427184,0.441747572815534,0.3737864077669903,0.3300970873786408,0.32524271844660196,0.2912621359223301,0.48058252427184467,0.39805825242718446,0.33495145631067963,0.4223300970873786,0.18932038834951456
First Best Player Field Goal Percentage,0.4803493449781659,0.11353711790393024,0.554585152838428,0.21397379912663753,0.5240174672489083,0.6593886462882098,0.41048034934497835,0.14847161572052392,0.12663755458515297,0.27074235807860264,0.4323144104803493,0.11353711790393024,0.572052401746725,0.2576419213973799,0.41921397379912656,0.17903930131004359,0.25327510917030566,0.39301310043668136,0.8602620087336244,0.20960698689956328,0.3100436681222708,0.4235807860262008,0.16157205240174663,0.40174672489082985,0.5502183406113538,0.22707423580786024,0.663755458515284,0.5895196506550219,0.46288209606986896,0.3886462882096071,0.6724890829694324,0.5633187772925765,0.17030567685589512,0.24890829694323144,0.3013100436681223,0.17467248908296937,0.21397379912663753,0.39301310043668136,0.24017467248908295,0.2838427947598254,0.2882096069868996,0.19650655021834057,0.572052401746725,0.2838427947598254,0.24017467248908295,0.30567685589519655,0.22707423580786024,0.0,1.0,0.10480349344978176,0.40174672489082985,0.2925764192139738,0.2751091703056769,0.2008733624454148,0.48471615720524014,0.27947598253275113,0.3187772925764193,0.3537117903930132,0.24017467248908295,0.16157205240174663,0.7947598253275112,0.43668122270742354,0.32314410480349354,0.2445414847161572
Second Best Player Field Goal Percentage,0.26714801444043323,0.5198555956678701,0.0902527075812273,0.6498194945848377,0.38989169675090246,0.0866425992779784,0.819494584837545,0.23826714801444043,0.6173285198555958,0.5379061371841155,0.29602888086642604,0.6823104693140791,0.0324909747292419,0.24548736462093862,0.3826714801444042,0.1913357400722021,0.4079422382671479,0.7653429602888084,0.17328519855595662,0.3285198555956677,0.28880866425992785,0.891696750902527,0.11552346570397101,0.3104693140794224,0.2490974729241877,0.2202166064981949,0.29241877256317694,0.5054151624548736,0.2779783393501805,0.4151624548736461,0.1299638989169674,0.7364620938628157,0.21299638989169672,0.3032490974729242,0.31407942238267134,0.3826714801444042,0.5415162454873647,0.0,0.43682310469314073,0.2490974729241877,0.2743682310469314,0.23104693140794222,0.36462093862815875,1.0,0.31407942238267134,0.7870036101083031,0.37545126353790603,0.48375451263537905,0.072202166064982,0.0577617328519856,0.46570397111913353,0.7364620938628157,0.45848375451263534,0.5631768953068592,0.3537906137184114,0.5884476534296029,0.15884476534296021,0.36823104693140785,0.1046931407942237,0.5234657039711191,0.17328519855595662,0.28880866425992785,0.6028880866425994,0.4151624548736461
Third Best Player Field Goal Percentage,0.47014925373134325,0.007462686567164185,0.24253731343283583,0.09701492537313441,0.3544776119402986,0.16044776119402998,0.18656716417910443,0.7238805970149256,0.21268656716417908,0.4328358208955223,0.27611940298507465,0.38432835820895533,0.0,0.6977611940298509,0.3022388059701493,0.4514925373134328,0.6119402985074628,0.32089552238805974,0.4402985074626865,0.6044776119402986,0.3097014925373135,0.48134328358208955,0.42537313432835816,0.6791044776119405,0.24253731343283583,0.2574626865671642,0.25,0.26865671641791045,0.6343283582089554,0.1007462686567165,0.41417910447761186,0.21641791044776115,0.8544776119402984,0.11194029850746277,0.8432835820895521,0.5970149253731344,0.17537313432835835,0.6753731343283583,0.3507462686567165,0.20522388059701488,0.1044776119402986,0.28358208955223885,0.4328358208955223,0.27985074626865675,0.12313432835820906,0.37313432835820903,0.6082089552238806,0.23880597014925373,0.37686567164179113,0.582089552238806,0.11567164179104487,0.3656716417910449,0.16791044776119418,0.7835820895522386,0.6529850746268658,0.32835820895522394,0.42910447761194026,0.5111940298507462,0.17164179104477625,0.8470149253731342,0.4925373134328358,0.4365671641791044,1.0,0.582089552238806
Points Per Game,0.17592592592592585,0.36574074074074076,0.5046296296296293,0.44907407407407435,0.2870370370370369,0.6435185185185183,0.25,0.6620370370370371,0.7175925925925928,0.27777777777777785,0.541666666666667,0.5185185185185188,0.6944444444444446,0.6342592592592595,0.4351851851851849,0.300925925925926,0.13425925925925922,0.5,0.4722222222222225,0.6435185185185183,0.9398148148148149,0.45833333333333304,0.06018518518518507,0.5277777777777776,0.5601851851851851,0.43981481481481494,0.5648148148148151,0.902777777777778,0.8518518518518516,1.0,0.38425925925925924,0.15740740740740738,0.0,0.5879629629629632,0.6851851851851852,0.5231481481481481,0.12499999999999983,0.2453703703703703,0.45833333333333304,0.9259259259259262,0.6527777777777777,0.6527777777777777,0.8657407407407411,0.17592592592592585,0.3472222222222223,0.5509259259259257,0.5,0.6851851851851852,0.09722222222222199,0.37962962962962954,0.5787037037037038,0.2870370370370369,0.43981481481481494,0.3564814814814814,0.6805555555555559,0.5509259259259257,0.1898148148148146,0.5231481481481481,0.1620370370370371,0.5555555555555557,0.48148148148148123,0.5833333333333333,0.6666666666666664,0.703703703703704
Opponent Field Personal Fouls,0.6191860465116279,0.0,1.0,0.23837209302325582,0.3372093023255814,0.47674418604651164,0.627906976744186,0.6773255813953488,0.3023255813953488,0.5552325581395349,0.3372093023255814,0.45930232558139533,0.5058139534883721,0.34593023255813954,0.25290697674418605,0.05232558139534884,0.46511627906976744,0.2441860465116279,0.5145348837209303,0.5726744186046512,0.436046511627907,0.1744186046511628,0.48255813953488375,0.7761627906976745,0.5494186046511628,0.18313953488372092,0.313953488372093,0.5959302325581395,0.45930232558139533,0.7587209302325582,0.6511627906976745,0.11627906976744186,0.39825581395348836,0.31976744186046513,0.4069767441860465,0.5174418604651163,0.2761627906976744,0.3691860465116279,0.37790697674418605,0.5726744186046512,0.5174418604651163,0.436046511627907,0.4622093023255814,0.3866279069767442,0.5581395348837209,0.31976744186046513,0.44476744186046513,0.5726744186046512,0.5813953488372093,0.311046511627907,0.5,0.38953488372093026,0.3953488372093023,0.49709302325581395,0.40988372093023256,0.5436046511627907,0.39825581395348836,0.4796511627906977,0.18023255813953487,0.46511627906976744,0.47674418604651164,0.6017441860465116,0.5901162790697675,0.38372093023255816
Opponent 3 Pt Field Goal Percentage,0.2588235294117649,0.6117647058823533,0.42352941176470615,0.08235294117647064,0.035294117647058844,0.4117647058823532,0.0,0.48235294117647093,0.2588235294117649,0.6941176470588233,0.24705882352941191,0.20000000000000012,0.776470588235294,0.470588235294118,0.3764705882352944,0.40000000000000024,0.40000000000000024,0.5529411764705886,0.3764705882352944,0.48235294117647093,0.6588235294117651,1.0,0.0235294117647059,0.5058823529411768,0.7882352941176469,0.3411764705882355,0.6588235294117651,0.5647058823529415,0.44705882352941206,0.6235294117647063,0.6470588235294122,0.3882352941176473,0.4352941176470591,0.4117647058823532,0.2588235294117649,0.30588235294117666,0.40000000000000024,0.42352941176470615,0.5411764705882357,0.48235294117647093,0.36470588235294144,0.49411764705882383,0.6470588235294122,0.17647058823529424,0.5176470588235298,0.6588235294117651,0.7882352941176469,0.2941176470588237,0.5176470588235298,0.7411764705882351,0.8235294117647057,0.470588235294118,0.20000000000000012,0.670588235294118,0.6823529411764704,0.776470588235294,0.08235294117647064,0.5411764705882357,0.6941176470588233,0.27058823529411785,0.7294117647058822,0.7411764705882351,0.8117647058823528,0.7999999999999998
Random 1,0.4048280068775789,0.33624905098890234,0.2442373018175279,0.6112462743592865,0.3597456807120203,0.28506789354262085,0.873071072366823,0.8368747330043284,0.03864824045969795,0.021867024625225384,0.6904467958590113,0.013152575944513911,0.07935041995628977,0.8489942953428543,0.44749003276170674,0.3215243682595448,0.9514555993557408,0.40310974811339095,0.11025940835869508,0.034028017545436384,0.7197869180165656,0.9341538053484154,0.5004871290962183,0.087947221261225,0.35940056425303146,0.1670111171878671,0.8555487424509814,0.6230729796834149,0.8968262751848006,0.08080463951276629,0.42881860085567436,0.2056580283725694,0.9123040210007841,0.35328253608858806,0.7732598647492869,0.7534618261363409,0.4049364281300719,0.5725445240068465,0.9382504111536303,0.4865493764034221,0.5790151019941269,0.8302217527096079,0.7891486229029957,0.8982949924794664,0.7891243986456199,0.8270576949540168,0.929599849735117,0.37728337527659406,0.15427200867359403,0.8913334433338088,0.05473819132823987,0.19385853297427802,0.23237162783236298,0.40687433795050965,0.4787452335887352,0.08600520886122898,0.3711098714406824,0.3673684337955272,0.6312672580851952,0.04510804862212481,0.6562573698428495,0.9205014218327958,0.8652384332663693,0.13193609888807212
Random 2,0.09729089058842066,0.2869839994553346,0.026242046217303083,0.5535811215936026,0.5121771311668959,0.4791567361991721,0.8475253054661858,0.7233072820636003,0.8921056817569981,0.19658986454669092,0.893067518050106,0.909285478668717,0.5421985435146206,0.10325661897122629,0.8450738271336857,0.947505095758944,0.9631259693469649,0.04724100351913352,0.045773286914920885,0.6109378038947637,0.35219150117698583,0.8996957508160681,0.4695213794111823,0.5854826065103155,0.18323320180345914,0.8559438018313125,0.08246761478475273,0.060914150894778696,0.008979637922621686,0.9004321735514407,0.6494282488647211,0.41501408429384334,0.8969176404805659,0.840750346232447,0.13641581102520317,0.2840845795701079,0.45560101673354236,0.3483017629759295,0.8395288424835283,0.3756200872429787,0.6291443065833587,0.18582358570422297,0.7986128860681774,0.9117029493459448,0.3441664510179857,0.9536302058540351,0.3923380829097872,0.02575114917447585,0.08281450863241324,0.6748989262870975,0.806340945747536,0.78934869751306,0.5880718035244996,0.4216703013844554,0.8636581351691245,0.3127485447408376,0.6598276162355992,0.03664095500465436,0.790118852502327,0.28008921148720656,0.5089749747316087,0.8959932454232741,0.04593136255172736,0.5076864563773908
Random 3,0.33501075103513167,0.5231881638648831,0.750241177021272,0.7791632297431673,0.04600569897655338,0.9729260810723065,0.7405361617108378,0.6692427370651289,0.5803403037908447,0.5529053115883298,0.7686320798854444,0.6584953580840003,0.564038109228901,0.215628131517283,0.42378023988329905,0.7620853634253723,0.46450491752961753,0.7081554315396958,0.17465730935951684,0.1650191765547414,0.6037953318983981,0.17191882720730722,0.764860404570983,0.304381167408725,0.8431332899570886,0.4528383619854265,0.7284830069394684,0.3684180715366191,0.6340303793492444,0.5114426706095888,0.9841872688986838,0.5659232984440467,0.059267923737428285,0.9824087398251949,0.10588928049639312,0.20810331780560076,0.973114872205431,0.9597867549389895,0.8860938302549699,0.6203411611710853,0.21748659799829528,0.9576330779794472,0.9881274134784984,0.5269462236882108,0.7667347650463577,0.6371555163338289,0.7446689405418213,0.24778977504881683,0.010785268379576385,0.3886629421966201,0.81767313417441,0.4269800810958686,0.7070881643558327,0.6437027583420006,0.9056002438362264,0.7852001308522172,0.5960187038194592,0.497776536940864,0.536276615535029,0.5673496749938972,0.8332389011041923,0.23045642941004318,0.27326551858042525,0.26393394070378173
