Team,wichita-state,cal-poly,kentucky,kansas-state,saint-louis,north-carolina-state,louisville,manhattan,massachusetts,tennessee,duke,mercer,texas,arizona-state,michigan,wofford,arizona,weber-state,gonzaga,oklahoma-state,oklahoma,north-dakota-state,san-diego-state,new-mexico-state,baylor,nebraska,creighton,louisiana-lafayette,oregon,brigham-young,wisconsin,american,virginia,coastal-carolina,memphis,george-washington,cincinnati,harvard,michigan-state,delaware,north-carolina,providence,iowa-state,north-carolina-central,connecticut,saint-josephs,villanova,milwaukee,florida,albany-ny,colorado,pittsburgh,virginia-commonwealth,stephen-f-austin,ucla,tulsa,ohio-state,dayton,syracuse,western-michigan,new-mexico,stanford,kansas,eastern-kentucky
Offense Rating,0.7554347826086956,0.07065217391304336,0.554347826086957,0.1086956521739131,0.010869565217391464,0.3206521739130432,0.8260869565217397,0.26630434782608664,0.168478260869565,0.6521739130434786,0.9456521739130435,0.7391304347826088,0.2608695652173913,0.27173913043478276,0.8369565217391304,0.1847826086956518,0.5489130434782609,0.49456521739130427,0.6467391304347825,0.5760869565217391,0.5815217391304353,0.8423913043478265,0.38043478260869584,0.6304347826086957,0.701086956521739,0.0,1.0,0.5108695652173911,0.6902173913043483,0.5326086956521741,0.7336956521739134,0.065217391304348,0.36413043478260904,0.1086956521739131,0.3260869565217393,0.2771739130434781,0.28804347826086957,0.5108695652173911,0.6086956521739135,0.5163043478260873,0.3423913043478261,0.3749999999999997,0.6358695652173918,0.5597826086956523,0.36413043478260904,0.3097826086956525,0.5978260869565221,0.021739130434782157,0.4836956521739128,0.05978260869565189,0.08152173913043483,0.5869565217391306,0.16304347826086965,0.7065217391304351,0.701086956521739,0.1521739130434782,0.21195652173913007,0.402173913043478,0.5108695652173911,0.233695652173913,0.49456521739130427,0.31521739130434784,0.657608695652174,0.766304347826087
Opponent Assets,0.125,0.38333333333333336,0.375,0.225,0.11666666666666667,0.3333333333333333,0.25416666666666665,0.26666666666666666,0.5833333333333334,0.20833333333333334,0.225,0.42916666666666664,0.49583333333333335,0.25416666666666665,0.4625,0.0,0.0875,0.12083333333333333,0.225,0.19583333333333333,0.35833333333333334,0.175,0.12916666666666668,0.058333333333333334,1.0,0.11666666666666667,0.425,0.35833333333333334,0.4,0.7875,0.15833333333333333,0.041666666666666664,0.19583333333333333,0.29583333333333334,0.5291666666666667,0.35833333333333334,0.2,0.06666666666666667,0.32916666666666666,0.36666666666666664,0.2,0.4,0.625,0.008333333333333333,0.5333333333333333,0.5541666666666667,0.3625,0.37083333333333335,0.25,0.3875,0.5791666666666667,0.3333333333333333,0.275,0.14583333333333334,0.7625,0.19166666666666668,0.029166666666666667,0.4375,0.4666666666666667,0.32916666666666666,0.25833333333333336,0.6375,0.38333333333333336,0.5333333333333333
Opponent Offensive Rebounds,0.25728155339805825,0.2669902912621359,0.7330097087378641,0.48058252427184467,0.3300970873786408,0.8106796116504854,0.7184466019417476,0.5970873786407767,0.5533980582524272,0.3155339805825243,0.3446601941747573,0.5485436893203883,0.5485436893203883,0.48058252427184467,0.3786407766990291,0.0,0.4029126213592233,0.12135922330097088,0.5485436893203883,0.5970873786407767,0.4029126213592233,0.019417475728155338,0.4077669902912621,0.8300970873786407,0.7087378640776699,0.16019417475728157,0.2961165048543689,0.5533980582524272,0.441747572815534,0.46601941747572817,0.3106796116504854,0.16019417475728157,0.16990291262135923,0.4174757281553398,0.6553398058252428,0.470873786407767,0.3883495145631068,0.1553398058252427,0.4320388349514563,0.6941747572815534,0.529126213592233,0.42718446601941745,0.5679611650485437,0.46601941747572817,1.0,0.2766990291262136,0.33495145631067963,0.4223300970873786,0.4077669902912621,0.2087378640776699,0.16019417475728157,0.32038834951456313,0.4029126213592233,0.03398058252427184,0.441747572815534,0.3737864077669903,0.3300970873786408,0.32524271844660196,0.2912621359223301,0.48058252427184467,0.39805825242718446,0.33495145631067963,0.4223300970873786,0.18932038834951456
First Best Player Field Goal Percentage,0.4803493449781659,0.11353711790393024,0.554585152838428,0.21397379912663753,0.5240174672489083,0.6593886462882098,0.41048034934497835,0.14847161572052392,0.12663755458515297,0.27074235807860264,0.4323144104803493,0.11353711790393024,0.572052401746725,0.2576419213973799,0.41921397379912656,0.17903930131004359,0.25327510917030566,0.39301310043668136,0.8602620087336244,0.20960698689956328,0.3100436681222708,0.4235807860262008,0.16157205240174663,0.40174672489082985,0.5502183406113538,0.22707423580786024,0.663755458515284,0.5895196506550219,0.46288209606986896,0.3886462882096071,0.6724890829694324,0.5633187772925765,0.17030567685589512,0.24890829694323144,0.3013100436681223,0.17467248908296937,0.21397379912663753,0.39301310043668136,0.24017467248908295,0.2838427947598254,0.2882096069868996,0.19650655021834057,0.572052401746725,0.2838427947598254,0.24017467248908295,0.30567685589519655,0.22707423580786024,0.0,1.0,0.10480349344978176,0.40174672489082985,0.2925764192139738,0.2751091703056769,0.2008733624454148,0.48471615720524014,0.27947598253275113,0.3187772925764193,0.3537117903930132,0.24017467248908295,0.16157205240174663,0.7947598253275112,0.43668122270742354,0.32314410480349354,0.2445414847161572
Second Best Player Field Goal Percentage,0.26714801444043323,0.5198555956678701,0.0902527075812273,0.6498194945848377,0.38989169675090246,0.0866425992779784,0.819494584837545,0.23826714801444043,0.6173285198555958,0.5379061371841155,0.29602888086642604,0.6823104693140791,0.0324909747292419,0.24548736462093862,0.3826714801444042,0.1913357400722021,0.4079422382671479,0.7653429602888084,0.17328519855595662,0.3285198555956677,0.28880866425992785,0.891696750902527,0.11552346570397101,0.3104693140794224,0.2490974729241877,0.2202166064981949,0.29241877256317694,0.5054151624548736,0.2779783393501805,0.4151624548736461,0.1299638989169674,0.7364620938628157,0.21299638989169672,0.3032490974729242,0.31407942238267134,0.3826714801444042,0.5415162454873647,0.0,0.43682310469314073,0.2490974729241877,0.2743682310469314,0.23104693140794222,0.36462093862815875,1.0,0.31407942238267134,0.7870036101083031,0.37545126353790603,0.48375451263537905,0.072202166064982,0.0577617328519856,0.46570397111913353,0.7364620938628157,0.45848375451263534,0.5631768953068592,0.3537906137184114,0.5884476534296029,0.15884476534296021,0.36823104693140785,0.1046931407942237,0.5234657039711191,0.17328519855595662,0.28880866425992785,0.6028880866425994,0.4151624548736461
Third Best Player Field Goal Percentage,0.47014925373134325,0.007462686567164185,0.24253731343283583,0.09701492537313441,0.3544776119402986,0.16044776119402998,0.18656716417910443,0.7238805970149256,0.21268656716417908,0.4328358208955223,0.27611940298507465,0.38432835820895533,0.0,0.6977611940298509,0.3022388059701493,0.4514925373134328,0.6119402985074628,0.32089552238805974,0.4402985074626865,0.6044776119402986,0.3097014925373135,0.48134328358208955,0.42537313432835816,0.6791044776119405,0.24253731343283583,0.2574626865671642,0.25,0.26865671641791045,0.6343283582089554,0.1007462686567165,0.41417910447761186,0.21641791044776115,0.8544776119402984,0.11194029850746277,0.8432835820895521,0.5970149253731344,0.17537313432835835,0.6753731343283583,0.3507462686567165,0.20522388059701488,0.1044776119402986,0.28358208955223885,0.4328358208955223,0.27985074626865675,0.12313432835820906,0.37313432835820903,0.6082089552238806,0.23880597014925373,0.37686567164179113,0.582089552238806,0.11567164179104487,0.3656716417910449,0.16791044776119418,0.7835820895522386,0.6529850746268658,0.32835820895522394,0.42910447761194026,0.5111940298507462,0.17164179104477625,0.8470149253731342,0.4925373134328358,0.4365671641791044,1.0,0.582089552238806
Points Per Game,0.17592592592592585,0.36574074074074076,0.5046296296296293,0.44907407407407435,0.2870370370370369,0.6435185185185183,0.25,0.6620370370370371,0.7175925925925928,0.27777777777777785,0.541666666666667,0.5185185185185188,0.6944444444444446,0.6342592592592595,0.4351851851851849,0.300925925925926,0.13425925925925922,0.5,0.4722222222222225,0.6435185185185183,0.9398148148148149,0.45833333333333304,0.06018518518518507,0.5277777777777776,0.5601851851851851,0.43981481481481494,0.5648148148148151,0.902777777777778,0.8518518518518516,1.0,0.38425925925925924,0.15740740740740738,0.0,0.5879629629629632,0.6851851851851852,0.5231481481481481,0.12499999999999983,0.2453703703703703,0.45833333333333304,0.9259259259259262,0.6527777777777777,0.6527777777777777,0.8657407407407411,0.17592592592592585,0.3472222222222223,0.5509259259259257,0.5,0.6851851851851852,0.09722222222222199,0.37962962962962954,0.5787037037037038,0.2870370370370369,0.43981481481481494,0.3564814814814814,0.6805555555555559,0.5509259259259257,0.1898148148148146,0.5231481481481481,0.1620370370370371,0.5555555555555557,0.48148148148148123,0.5833333333333333,0.6666666666666664,0.703703703703704
Opponent Field Personal Fouls,0.6191860465116279,0.0,1.0,0.23837209302325582,0.3372093023255814,0.47674418604651164,0.627906976744186,0.6773255813953488,0.3023255813953488,0.5552325581395349,0.3372093023255814,0.45930232558139533,0.5058139534883721,0.34593023255813954,0.25290697674418605,0.05232558139534884,0.46511627906976744,0.2441860465116279,0.5145348837209303,0.5726744186046512,0.436046511627907,0.1744186046511628,0.48255813953488375,0.7761627906976745,0.5494186046511628,0.18313953488372092,0.313953488372093,0.5959302325581395,0.45930232558139533,0.7587209302325582,0.6511627906976745,0.11627906976744186,0.39825581395348836,0.31976744186046513,0.4069767441860465,0.5174418604651163,0.2761627906976744,0.3691860465116279,0.37790697674418605,0.5726744186046512,0.5174418604651163,0.436046511627907,0.4622093023255814,0.3866279069767442,0.5581395348837209,0.31976744186046513,0.44476744186046513,0.5726744186046512,0.5813953488372093,0.311046511627907,0.5,0.38953488372093026,0.3953488372093023,0.49709302325581395,0.40988372093023256,0.5436046511627907,0.39825581395348836,0.4796511627906977,0.18023255813953487,0.46511627906976744,0.47674418604651164,0.6017441860465116,0.5901162790697675,0.38372093023255816
Opponent 3 Pt Field Goal Percentage,0.2588235294117649,0.6117647058823533,0.42352941176470615,0.08235294117647064,0.035294117647058844,0.4117647058823532,0.0,0.48235294117647093,0.2588235294117649,0.6941176470588233,0.24705882352941191,0.20000000000000012,0.776470588235294,0.470588235294118,0.3764705882352944,0.40000000000000024,0.40000000000000024,0.5529411764705886,0.3764705882352944,0.48235294117647093,0.6588235294117651,1.0,0.0235294117647059,0.5058823529411768,0.7882352941176469,0.3411764705882355,0.6588235294117651,0.5647058823529415,0.44705882352941206,0.6235294117647063,0.6470588235294122,0.3882352941176473,0.4352941176470591,0.4117647058823532,0.2588235294117649,0.30588235294117666,0.40000000000000024,0.42352941176470615,0.5411764705882357,0.48235294117647093,0.36470588235294144,0.49411764705882383,0.6470588235294122,0.17647058823529424,0.5176470588235298,0.6588235294117651,0.7882352941176469,0.2941176470588237,0.5176470588235298,0.7411764705882351,0.8235294117647057,0.470588235294118,0.20000000000000012,0.670588235294118,0.6823529411764704,0.776470588235294,0.08235294117647064,0.5411764705882357,0.6941176470588233,0.27058823529411785,0.7294117647058822,0.7411764705882351,0.8117647058823528,0.7999999999999998
Random 1,0.537560502073499,0.33822444431300047,0.9771102203513699,0.23063210594899433,0.3360646044774715,0.4921932432866917,0.517080241606521,0.28338735301876355,0.3450415291931872,0.9854545957425392,0.2562887917063133,0.8756070209279346,0.5488584976139578,0.036262216147959034,0.3427348747638828,0.977232814616813,0.9524454795843784,0.0,0.7131182986202501,0.3769815779951903,0.8502451499664667,0.6935612748333575,0.3542916672606569,0.31104681692719244,0.44648860113835115,0.045706339742927975,0.6902761209034817,0.3802575334000494,0.8146300272989722,0.3746243651368187,0.36804948935959697,0.9398865122788486,0.18050337137697411,0.938154770385524,1.0,0.6403711021508002,0.36623923385587703,0.8698175719236415,0.3536156830953615,0.1263582219268768,0.7195077020997611,0.8479219842723239,0.9572187683259703,0.8523494397834116,0.5475085924011064,0.6974097977496789,0.511019698185937,0.5691785783075912,0.39689177728717695,0.6226120236478506,0.46322077832514047,0.217583860451698,0.034618469938178964,0.15144846876999565,0.5810576225582105,0.7338583705258277,0.12455627537873432,0.9720000206453151,0.8704183551455162,0.12934235562951213,0.6142596200916747,0.07593409013004203,0.6495352497374821,0.28157510057399077
Random 2,0.6276376098922005,0.28433006800540345,0.8931616662694394,0.0,0.7770032401329346,0.7998936128434376,0.12447283351176988,0.0828829113025548,0.9181589871840471,0.3454808831700323,0.015702280705088462,0.1790857344804675,0.9030334358753249,0.8375129959385077,0.4350311795856882,0.1253017245474186,0.16313133710873692,0.26090212954655667,0.4981618171086437,0.06380698976022119,0.3735081007747845,0.811768358238165,0.41064084560688346,0.7608246712665326,1.0,0.8176229218327432,0.14849061043936548,0.42267410698346997,0.9211860991623838,0.6113110979919455,0.21186733588325068,0.26164586799118283,0.6033175285373094,0.3565191349015802,0.7711308819143405,0.7914859026294545,0.004497062573769497,0.9832360278457183,0.10561981935900039,0.2380918904213811,0.013738510881581864,0.919231293069202,0.8408291305064455,0.34492156434847693,0.6736667040469596,0.9398304136728368,0.09457961268052234,0.4660584569342017,0.6922980923710746,0.349867322161769,0.7957285201860207,0.03461096515868072,0.3919595631289232,0.6713596685611356,0.012719209797110984,0.6500126447342706,0.8982733669937861,0.7754520250397307,0.1837337214186348,0.04121799795049547,0.9220442079389545,0.47407105838350394,0.29572661244032344,0.380158407610082
Random 3,0.23936118140156093,0.2719485871049271,0.6704268354243927,0.0959162256421468,0.3788554127392756,0.2951365875899631,0.9790629623351859,0.8093298633287128,0.4382736176086619,0.017739575767683577,0.7043359935636105,0.9359392063434067,0.26149285107257286,0.12282770742995397,0.9591986555670002,0.802645822382057,0.0,0.9271189645089821,0.9173819126444797,0.005338702098677299,0.6085281211010062,0.9205403901001252,0.49190265704897945,0.9022878664759871,0.8104387620292945,0.18075340751261681,0.5662693795763521,0.5607974380015549,0.4986162387994161,0.05324252024339813,0.6858441936053417,0.8554898537194501,0.08837417021383766,0.2586017672648348,0.38742656540314924,0.21714978311467745,0.7513608066566896,0.3224295010773036,0.2592472753915581,0.7400289292807127,0.3631302856521218,0.1656260862304732,0.9942127352616478,0.36967408282285835,0.3914577254502859,0.7749499582913609,0.8233782002281687,0.7604115101292703,0.45568185928222904,0.4048699558664313,0.9299350386046167,0.11578670715418271,0.32668701336635597,0.18804868517150997,0.20818423416889748,0.5567318939193618,0.42031176571430773,0.43014493165578566,1.0,0.9806538475359292,0.021399380037834124,0.6417283482953597,0.4475879393364861,0.5007638917315506
