Team,ohio-state,texas-san-antonio,george-mason,villanova,west-virginia,clemson,kentucky,princeton,xavier,marquette,syracuse,indiana-state,washington,georgia,north-carolina,long-island-university,pittsburgh,north-carolina-asheville,butler,old-dominion,kansas-state,utah-state,wisconsin,belmont,st-johns-ny,gonzaga,brigham-young,wofford,ucla,michigan-state,florida,california-santa-barbara,kansas,boston-university,nevada-las-vegas,illinois,vanderbilt,richmond,louisville,morehead-state,georgetown,virginia-commonwealth,purdue,saint-peters,texas-am,florida-state,notre-dame,akron,duke,hampton,michigan,tennessee,arizona,memphis,texas,oakland,cincinnati,missouri,connecticut,bucknell,temple,penn-state,san-diego-state,northern-colorado
Defense Rating,0.2134146341463414,0.7195121951219507,0.4146341463414631,0.603658536585366,0.7134146341463414,0.26219512195121925,0.3841463414634143,0.5,0.5,0.707317073170732,0.3597560975609758,0.5365853658536581,0.49390243902439057,0.5,0.3170731707317074,0.5548780487804882,0.40243902439024426,0.396341463414634,0.5365853658536581,0.4207317073170734,0.4207317073170734,0.09756097560975659,0.7439024390243901,0.0,0.6829268292682926,0.3841463414634143,0.3231707317073168,0.829268292682927,0.5487804878048779,0.6402439024390242,0.4634146341463418,0.6402439024390242,0.18902439024390288,0.707317073170732,0.23780487804878075,0.5548780487804882,0.5975609756097557,0.4268292682926828,0.2560975609756098,0.3597560975609758,0.7743902439024389,0.7195121951219507,0.24390243902439016,0.12195121951219508,0.34756097560975613,0.0,0.6768292682926832,0.43292682926829307,0.17682926829268322,0.15243902439024384,0.6463414634146344,0.6463414634146344,0.6646341463414636,0.5182926829268291,0.1097560975609754,1.0,0.24390243902439016,0.5182926829268291,0.5243902439024394,0.43902439024390244,0.31097560975609795,0.9329268292682922,0.18292682926829262,0.5609756097560975
Offense Rating,1.0,0.34545454545454546,0.7054545454545457,0.6218181818181816,0.6,0.4399999999999998,0.738181818181818,0.5309090909090907,0.5890909090909092,0.6436363636363638,0.6472727272727272,0.30545454545454565,0.8,0.41818181818181815,0.509090909090909,0.5963636363636365,0.8654545454545454,0.3781818181818184,0.6,0.567272727272727,0.48727272727272747,0.6945454545454544,0.9163636363636365,0.7927272727272726,0.45818181818181797,0.6836363636363635,0.7600000000000002,0.6836363636363635,0.4145454545454548,0.38545454545454527,0.6472727272727272,0.3781818181818184,0.8545454545454545,0.38181818181818183,0.49454545454545434,0.5199999999999999,0.6763636363636362,0.6181818181818182,0.5854545454545452,0.4981818181818183,0.5818181818181818,0.5745454545454545,0.6181818181818182,0.0,0.5127272727272725,0.25090909090909114,0.829090909090909,0.3781818181818184,0.8254545454545456,0.18181818181818182,0.5018181818181817,0.39272727272727265,0.738181818181818,0.3890909090909092,0.6363636363636364,0.9127272727272725,0.5600000000000002,0.6472727272727272,0.6072727272727274,0.48727272727272747,0.5127272727272725,0.4727272727272727,0.7090909090909091,0.5272727272727272
Opponent Assets,0.47761194029850745,0.5485074626865671,0.3619402985074627,0.5485074626865671,0.26492537313432835,0.3208955223880597,0.458955223880597,0.20149253731343283,0.4552238805970149,1.0,0.7574626865671642,0.332089552238806,0.332089552238806,0.0,0.664179104477612,0.8208955223880597,0.3656716417910448,0.5074626865671642,0.4216417910447761,0.48507462686567165,0.2798507462686567,0.25,0.10820895522388059,0.3358208955223881,0.7313432835820896,0.2873134328358209,0.6268656716417911,0.2574626865671642,0.4216417910447761,0.40298507462686567,0.4664179104477612,0.43656716417910446,0.4925373134328358,0.4701492537313433,0.23134328358208955,0.44402985074626866,0.3582089552238806,0.44402985074626866,0.3694029850746269,0.5895522388059702,0.3619402985074627,0.8283582089552238,0.48880597014925375,0.23507462686567165,0.26865671641791045,0.3246268656716418,0.6007462686567164,0.48134328358208955,0.5298507462686567,0.14925373134328357,0.5783582089552238,0.44029850746268656,0.746268656716418,0.5746268656716418,0.17164179104477612,0.7014925373134329,0.40671641791044777,0.6119402985074627,0.7649253731343284,0.4701492537313433,0.34701492537313433,0.6940298507462687,0.39552238805970147,0.3843283582089552
Opponent Offensive Rebounds,0.2490842490842491,0.5128205128205128,0.3772893772893773,0.304029304029304,0.5274725274725275,0.3992673992673993,0.5787545787545788,0.05860805860805861,0.1282051282051282,0.5860805860805861,0.6190476190476191,0.27472527472527475,0.5091575091575091,0.42124542124542125,0.663003663003663,0.5677655677655677,0.28205128205128205,0.6117216117216118,0.2857142857142857,0.19413919413919414,0.28205128205128205,0.1684981684981685,0.0,0.3992673992673993,0.2967032967032967,0.315018315018315,0.4468864468864469,0.29304029304029305,0.45054945054945056,0.27106227106227104,0.43956043956043955,0.304029304029304,0.4542124542124542,0.5934065934065934,0.32967032967032966,0.4065934065934066,0.5347985347985348,0.6153846153846154,0.6666666666666666,0.14652014652014653,0.32234432234432236,0.8168498168498168,0.2783882783882784,0.5787545787545788,0.17582417582417584,0.47619047619047616,0.3626373626373626,0.5567765567765568,0.7326007326007326,0.6446886446886447,0.2271062271062271,0.42124542124542125,0.37362637362637363,0.63003663003663,0.5494505494505495,0.575091575091575,0.2857142857142857,0.608058608058608,1.0,0.315018315018315,0.2454212454212454,0.1575091575091575,0.3956043956043956,0.11721611721611722
First Best Player Field Goal Percentage,0.6796875000000001,0.21874999999999997,0.43749999999999994,0.20312499999999997,0.20703124999999997,0.2578125,0.21874999999999997,0.7382812500000002,0.22265624999999997,0.2578125,0.3476562500000001,0.17968749999999994,0.30468750000000006,0.44531249999999994,0.7109375000000002,0.5898437500000001,0.3945312500000001,0.26171875,0.40624999999999994,0.7539062500000002,0.23046874999999997,0.9062499999999999,0.4023437499999999,0.44921874999999994,0.31640625000000006,0.16796874999999992,0.33203125000000006,0.95703125,0.7812499999999998,0.23828125,0.17187499999999994,0.42187499999999994,0.7929687499999998,0.07421875000000007,0.2578125,0.33203125000000006,0.3710937500000001,0.6523437500000001,0.04687500000000004,1.0,0.42578124999999994,0.5898437500000001,0.49609375,0.0,0.32421875000000006,0.26171875,0.43749999999999994,0.33593750000000006,0.3554687500000001,0.08203125000000007,0.4765625,0.33203125000000006,0.8906249999999999,0.23828125,0.28515625000000006,0.7031250000000002,0.5625,0.51953125,0.23828125,0.5859375000000001,0.31250000000000006,0.21874999999999997,0.30078125000000006,0.42968749999999994
Second Best Player Field Goal Percentage,0.4174311926605506,0.21100917431192656,0.6422018348623855,0.28440366972477066,0.3440366972477065,0.9174311926605504,0.3256880733944955,0.9036697247706421,0.16972477064220176,0.5458715596330276,0.9954128440366973,0.18348623853211002,0.802752293577982,0.555045871559633,0.2293577981651376,0.5137614678899083,0.35321100917431203,0.12844036697247718,0.16972477064220176,0.5045871559633027,0.31192660550458723,0.29816513761467894,0.28440366972477066,0.7752293577981654,0.5642201834862386,0.536697247706422,0.25688073394495414,0.2935779816513762,0.3027522935779817,0.25229357798165136,0.06422018348623859,0.43577981651376163,1.0,0.15596330275229373,0.4908256880733945,0.7247706422018351,0.3577981651376148,0.25688073394495414,0.6559633027522938,0.27522935779816515,0.1972477064220183,0.5321100917431193,0.34862385321100925,0.05963302752293584,0.5825688073394496,0.5642201834862386,0.3899082568807341,0.3761467889908258,0.7247706422018351,0.0,0.22477064220183485,0.4082568807339451,0.21559633027522931,0.27522935779816515,0.802752293577982,0.5412844036697249,0.20183486238532106,0.7247706422018351,0.5321100917431193,0.3761467889908258,0.5,0.8073394495412847,0.7568807339449544,0.3256880733944955
Third Best Player Field Goal Percentage,0.5562700964630225,0.4533762057877812,0.5144694533762058,0.20900321543408362,0.0,0.23151125401929262,0.5241157556270096,0.19935691318327975,0.6913183279742766,0.48553054662379413,0.2604501607717041,0.4598070739549838,0.4212218649517685,0.3472668810289389,0.5337620578778135,0.21543408360128619,0.3987138263665595,0.3729903536977492,0.832797427652733,0.051446945337620446,0.6366559485530547,0.47588424437299026,0.5209003215434083,0.5691318327974276,0.3922829581993569,0.5884244372990354,0.6141479099678456,0.28938906752411564,0.23151125401929262,0.17363344051446944,0.832797427652733,0.7491961414790994,0.23794212218649502,0.28938906752411564,0.12861736334405138,0.5530546623794211,0.8167202572347265,0.36655948553054657,0.35691318327974275,0.180064308681672,0.4790996784565915,0.2475884244372989,0.5434083601286173,0.04823151125401916,0.2604501607717041,0.2122186495176849,0.3890675241157556,0.2861736334405144,0.3086816720257234,0.2765273311897105,0.9421221864951768,0.13183279742765266,0.1254019292604501,0.6237942122186495,0.4244372990353698,1.0,0.33118971061093244,0.7620578778135046,0.5562700964630225,0.26366559485530533,0.06752411575562689,0.28938906752411564,0.1254019292604501,0.11897106109324751
Points Per Game,0.07027027027027047,0.5999999999999999,0.2216216216216216,0.3783783783783786,0.3405405405405406,0.1621621621621621,0.27567567567567564,0.24864864864864863,0.33513513513513477,0.5621621621621619,0.2648648648648647,0.3297297297297297,0.6648648648648648,0.32432432432432456,0.5621621621621619,0.881081081081081,0.14054054054054058,0.5513513513513509,0.30810810810810774,0.0,0.41621621621621585,0.01621621621621644,0.01081081081081096,0.20540540540540556,0.4648648648648648,0.40540540540540565,0.5135135135135137,0.5189189189189188,0.4270270270270268,0.4432432432432428,0.2702702702702702,0.39999999999999974,0.3405405405405406,0.27567567567567564,0.24324324324324315,0.3783783783783786,0.5027027027027028,0.15135135135135153,0.3297297297297297,0.18378378378378363,0.4270270270270268,0.4540540540540538,0.18918918918918912,0.09189189189189201,0.1351351351351351,0.1945945945945946,0.3837837837837837,0.39459459459459467,0.3405405405405406,0.23243243243243258,0.2216216216216216,0.49189189189189175,0.5135135135135137,0.5351351351351349,0.20540540540540556,1.0,0.064864864864865,0.713513513513513,0.3513513513513516,0.2972972972972972,0.2216216216216216,0.2216216216216216,0.043243243243243454,0.39999999999999974
Opponent Field Personal Fouls,0.6594827586206896,0.6551724137931034,0.5344827586206896,0.4482758620689655,0.6681034482758621,0.41810344827586204,0.6508620689655172,0.0603448275862069,0.4698275862068966,0.9439655172413793,0.30603448275862066,0.5172413793103449,0.4827586206896552,0.09051724137931035,0.8620689655172413,1.0,0.6206896551724138,0.6293103448275862,0.875,0.3232758620689655,0.8448275862068966,0.5258620689655172,0.11206896551724138,0.75,0.5775862068965517,0.7456896551724138,0.75,0.5646551724137931,0.47413793103448276,0.27155172413793105,0.5732758620689655,0.05603448275862069,0.8232758620689655,0.4267241379310345,0.4482758620689655,0.03017241379310345,0.5818965517241379,0.47844827586206895,0.22844827586206898,0.5646551724137931,0.0,0.875,0.38362068965517243,0.5,0.6120689655172413,0.5646551724137931,0.6594827586206896,0.47844827586206895,0.8663793103448276,0.5258620689655172,0.15517241379310345,0.4525862068965517,0.9008620689655172,0.5474137931034483,0.8793103448275862,0.7629310344827587,0.3706896551724138,0.44396551724137934,0.853448275862069,0.21551724137931033,0.15086206896551724,0.20689655172413793,0.3232758620689655,0.4482758620689655
Opponent 3 Pt Field Goal Percentage,0.6049382716049387,0.5061728395061732,0.4320987654320991,0.35802469135802495,0.0,0.4938271604938275,0.40740740740740766,0.4814814814814818,0.592592592592593,0.8271604938271604,0.2962962962962965,0.5061728395061732,0.45679012345679043,0.34567901234567927,0.4938271604938275,0.07407407407407413,0.4320987654320991,0.5555555555555559,0.40740740740740766,0.9259259259259259,0.7407407407407406,0.13580246913580257,0.9753086419753086,0.5555555555555559,1.0,0.9135802469135802,0.44444444444444475,0.7037037037037035,0.7037037037037035,0.9012345679012345,0.24691358024691376,0.8888888888888888,0.08641975308641982,0.4197530864197534,0.4691358024691361,0.17283950617283964,0.27160493827160515,0.1851851851851853,0.24691358024691376,0.9012345679012345,0.5679012345679016,0.5555555555555559,0.4320987654320991,0.1851851851851853,0.3086419753086422,0.1851851851851853,0.765432098765432,0.35802469135802495,0.40740740740740766,0.32098765432098786,0.34567901234567927,0.5061728395061732,0.024691358024691374,0.4814814814814818,0.04938271604938275,0.8888888888888888,0.395061728395062,0.6172839506172844,0.44444444444444475,0.32098765432098786,0.8271604938271604,0.9135802469135802,0.34567901234567927,0.6790123456790121
Random 1,0.44597054667570457,0.31303055688084325,0.26394411624946523,0.6524944356671428,0.5731752376662675,0.8030529174810394,0.13330263756267124,0.705016555254063,0.2501012477250737,0.5631514284478851,0.4800582074927655,0.6299634011811965,0.1354797967509439,0.35721370929861496,0.9701425007481851,0.18045094267519624,0.15271413639678033,0.963385756449374,0.7372639730065729,0.229415398336429,0.7548714035134783,0.7710736434669977,0.2675661090850239,0.5735461419507633,0.871036834250185,0.9714983318325348,0.28587439306796114,0.794928762056103,0.4972392849939583,0.01748561709631702,0.37882867731835157,0.9505999697333739,0.843518528532289,0.2435258637953518,0.48423104112002535,0.40574034905498535,0.030459727186874397,0.632179825452234,0.20488345649714412,0.8927284479101164,0.26408339881343845,0.5443569279028597,0.2530681963238661,0.7720365215847692,0.8355077303819507,0.7412614266040523,0.7873927966219164,0.030751551281415712,0.9097786506019843,0.4647635987955322,0.9830811474498817,0.10172869092783887,0.15049043145084473,0.7195120088905266,0.9816504143581047,0.8724185296574744,0.159804837943621,0.37841913329204857,0.714162782029293,0.8494640510174691,0.6180012278106382,0.9362907818922046,0.35705040076526784,0.9768895474524002
Random 2,0.523700056799104,0.5248201053841604,0.01934019409071419,0.8836614795656165,0.8002291230123227,0.7892260415681633,0.7315826167536886,0.03419291272975988,0.7035703860795177,0.21826877869036787,0.5649466163425277,0.9052240806830154,0.14437966532190616,0.22196541636636358,0.882574931513256,0.673888950254036,0.7235276807710872,0.7713493555339896,0.5307235588315026,0.887233767395559,0.1563236243865812,0.9138622462945555,0.21190824495140603,0.17985968221261783,0.9815043253255231,0.8925671023267333,0.953747409012292,0.7552587293502528,0.9361601835794656,0.6945982055383096,0.3028010263225075,0.6262086892468425,0.5247450867065514,0.08913752285293974,0.31909732134263047,0.3628041043628468,0.02685886370903756,0.8719840027725586,0.43682392997157937,0.9246354667283302,0.6887353879056022,0.26473654778231237,0.9853096923202342,0.7872670814209437,0.0505723370192237,0.8713360856676676,0.5602114098238564,0.3881767008276762,0.5328666256358581,0.47155707690630944,0.7572867598085108,0.8535678103509621,0.6493896227149958,0.7194373426353786,0.0792174971149131,0.05189333878229352,0.1378756737242025,0.025790002140735124,0.44527647940980786,0.14329639708984032,0.4261939175962951,0.870250806301271,0.004999548673032872,0.9020174374715542
Random 3,0.21978960832931627,0.9234207185599405,0.1964183530444864,0.4183015680683839,0.9712388725765094,0.6795504887385855,0.5781598938882825,0.18446660533762438,0.6641633187223013,0.7890985685377463,0.7530772138607956,0.3244165595187857,0.9553272101791008,0.9857751896623781,0.29580932954424866,0.4691436811090197,0.948407283667463,0.3668433004127698,0.31798056305276634,0.059762452443855696,0.4485890419150015,0.36590161449894865,0.12411769636119063,0.29622686064178505,0.5139644550234984,0.22773048189458933,0.6396700030204703,0.6245166300935502,0.9413979132278802,0.7392269265764823,0.8280471874443485,0.5180547031698985,0.9854162712776894,0.16079491562861292,0.6578654288754375,0.8839931652104636,0.32859315586693794,0.44661385047031565,0.6101303151983984,0.7412320996242825,0.5414723474500966,0.5686589218202966,0.6037707533634666,0.39273711672864964,0.5236416282048277,0.894568800966906,0.5566319911729516,0.9130841766710912,0.2195812349638867,0.4229948634381303,0.6703764120998803,0.9744974152563414,0.2944520118679026,0.5406323856332128,0.02044759192691248,0.40983890573195236,0.6387269218318863,0.5328468977389146,0.6154360276161057,0.7723775385581608,0.4543027509908928,0.45007104775050244,0.9172509891938198,0.48116517631569744
